AWAY,39573,67950,6800,39389,164352,67898,37112,38969,178291,148286,17276,38391,38388,38389,69713,38798,38383,38393,38253,106013,46552,181276,3.3,3.35,2,67,59,62,57,50,61,62,62,54,56,62,70,71,71,58,72,77,76,61,57,68,74
HOME,38391,38388,38389,38253,69713,33620,38393,106013,12692,46552,181276,38289,38292,11569,14642,38273,12099,38290,15662,104404,34334,166675,1.22,5.5,9.75,70,71,71,61,58,73,76,57,64,68,74,67,68,60,62,59,66,62,62,51,60,51
AWAY,104378,37044,38337,12473,104382,33662,26916,38233,166618,12574,46335,13131,37988,36849,38322,38800,38371,38784,36868,38786,33622,178284,1.75,3.4,4.2,63,56,63,64,57,70,61,63,58,65,59,64,71,64,60,64,77,62,64,65,67,56
HOME,37971,39859,38441,131404,149279,38249,38257,40521,95615,78902,148315,39573,67950,6800,39389,164352,67898,37112,38969,178291,148286,17276,2.45,3.25,2.6,63,57,58,59,55,69,62,60,60,60,56,67,59,62,57,50,61,62,62,54,56,62
HOME,37900,37886,37903,37889,131532,37893,37981,26741,131531,104377,38231,39573,67950,38791,67941,164352,67898,37112,38969,178291,148286,17276,1.75,3.35,4.3,57,68,57,54,53,65,69,64,57,63,58,67,59,55,58,50,61,62,62,54,56,62
HOME,38391,33620,38388,38389,69713,38378,38393,38253,106013,37069,181276,37971,39859,38441,131404,149279,38249,33685,38257,40521,95615,148315,1.25,5.2,9,70,73,71,71,58,61,76,61,57,56,74,63,57,58,59,55,69,67,62,60,60,56
DRAW,37971,37887,38441,131404,149279,38249,33685,38257,40521,39772,78902,38341,39848,21834,37953,38339,38343,38778,67896,182605,37025,166584,2,3.25,3.45,63,65,58,59,55,69,67,62,60,64,60,60,66,52,63,62,67,65,61,59,65,55
DRAW,37900,37886,37903,37889,94030,37902,37981,131531,130027,38231,104377,37937,38293,104411,148314,148313,9307,39498,43158,42153,169200,163674,2.25,3.15,2.95,57,68,57,54,46,66,69,57,55,58,63,55,69,55,54,56,63,62,63,73,62,61
DRAW,38341,38349,37953,38339,67896,38343,38332,47410,17883,25619,166584,37971,6803,16387,67939,149279,38249,39859,38257,40521,39772,95615,1.75,3.35,4.3,60,73,63,62,61,67,56,58,63,58,55,63,58,57,58,55,69,57,62,60,64,60
DRAW,104378,27838,38337,12473,104382,27421,39875,26916,32760,46335,148329,38391,38388,38389,38253,69713,33620,38378,38383,38393,148302,181276,2.85,3.25,2.25,63,68,63,64,57,68,61,61,76,59,53,70,71,71,61,58,73,61,77,76,54,74
HOME,38391,38388,38389,38253,69713,33620,38378,38383,148302,37069,181276,37900,37886,37100,37889,94030,37893,37981,26741,131531,104377,38231,1.35,4.3,7.75,70,71,71,61,58,73,61,77,54,56,74,57,68,61,54,46,65,69,64,57,63,58
HOME,37900,37886,37100,37889,94030,37893,37981,26741,131531,104377,75500,37868,38354,33595,3329,149150,37866,38347,36836,45490,38365,5016,1.85,3.3,3.85,57,68,61,54,46,65,69,64,57,63,56,64,64,70,62,60,63,63,56,63,61,64
AWAY,37868,33595,38347,3329,149150,38354,37866,36836,45490,5016,68120,38341,38349,43049,21834,37953,38343,38778,47410,182605,37025,17883,2.1,3.25,3.15,64,70,63,62,60,64,63,56,63,64,59,60,73,64,52,63,67,65,58,59,65,63
AWAY,38391,33620,38389,38393,69713,38383,38253,148302,25499,46552,12692,37868,33595,3329,178486,149150,38354,37866,36836,68120,5016,45490,1.2,5.6,11,70,73,71,76,58,77,61,54,83,68,64,64,70,62,58,60,64,63,56,59,64,63
DRAW,13131,36849,36845,38322,38800,38784,36868,38786,33622,69629,166679,37900,37886,37100,107416,94030,37893,37981,131531,131530,130027,104377,2.3,3.3,2.75,64,64,63,60,64,62,64,65,67,59,51,57,68,61,41,46,65,69,57,60,55,63
HOME,38391,38388,38389,38253,69713,38798,38383,38393,148302,37069,46552,38327,6800,39389,67941,67959,67898,38969,178291,38799,148286,17276,1.2,5.6,11,70,71,71,61,58,72,77,76,54,56,68,58,62,57,58,53,61,62,54,71,56,62
DRAW,38327,6800,39389,67941,67959,67898,37112,148286,38969,38799,17276,37971,39859,38441,38257,131404,38249,33685,40521,78902,95615,148315,2.15,3.25,3.05,58,62,57,58,53,61,62,56,62,71,62,63,57,58,62,59,69,67,60,60,60,56
HOME,37971,39859,38441,95615,131404,38249,33685,38257,40521,78902,148315,30934,11569,14642,25465,38273,30910,12099,38945,38290,30485,17703,1.8,3.25,4.05,63,57,58,60,59,69,67,62,60,60,56,64,60,62,66,59,75,66,68,62,68,69
HOME,38327,67950,6800,39389,67941,38801,37112,38969,178291,148286,17276,37990,21812,11736,37858,37963,37983,39578,37979,38336,38366,38440,3,3.2,2.2,58,59,62,57,58,64,62,62,54,56,62,70,69,62,66,59,74,72,71,59,62,61
DRAW,91929,43158,104411,148313,148314,32690,9307,38435,169200,38794,150510,37971,39859,38441,95615,131404,38249,33685,38257,40521,78902,148315,2,3.25,3.45,57,63,55,56,54,71,63,56,62,59,65,63,57,58,60,59,69,67,62,60,60,56
HOME,38327,6800,39389,38969,67941,67898,17276,37112,67959,148286,178291,37900,37886,37100,37889,131532,37893,37981,26741,38231,131530,104377,2.75,3.25,2.3,58,62,57,62,58,61,62,62,53,56,54,57,68,61,54,53,65,69,64,58,60,63
DRAW,37990,37983,11736,37858,37963,39578,37979,37967,38366,27423,38440,37971,16387,149279,38249,131404,39859,38257,40521,39772,78902,95615,1.4,4,7.5,70,74,62,66,59,72,71,67,62,79,61,63,57,55,69,59,57,62,60,64,60,60
AWAY,13131,37988,36849,36845,36868,38371,38784,38380,38786,33622,34334,38327,67950,6800,39389,67941,67898,37112,38969,178291,148286,17276,1.85,3.4,3.8,64,71,64,63,64,77,62,68,65,67,60,58,59,62,57,58,61,62,62,54,56,62
DRAW,37937,39498,104411,148314,148313,9307,38435,43158,38794,169200,163674,13131,37988,36849,36845,38322,38371,38784,36868,38786,30910,33622,1.8,3.4,3.95,55,62,55,54,56,63,56,63,59,62,61,64,71,64,63,60,77,62,64,65,75,67
HOME,37971,16387,131404,149279,38441,38249,39859,38257,40521,39772,78902,104378,38337,38255,12473,104382,33662,38233,166618,39875,12574,46335,4.3,3.35,1.75,63,57,59,55,58,69,57,62,60,64,60,63,63,61,64,57,70,63,58,61,65,59
